model,seed,macro_f1,micro_f1,auc_pr,auc_roc
B1,425,0.052665447527775536,0.16971937489497563,0.043591224018475754,0.5
B4,425,0.1684153086108269,0.20334148329258353,0.17399765479720158,0.8014039424206624
B4,426,0.1980045126532211,0.20461215932914045,0.2006704950684807,0.8023635720411096
B4,427,0.170227816255751,0.2074793999577435,0.1818494443338596,0.8021017764899605
BERT,425,0.24104972238770314,0.2935714285714286,0.2261371926707476,0.8107031180597394
BERT,426,0.2509173990081753,0.28852681602172436,0.22963711796884284,0.7984503846119394
BERT,427,0.21912025948642996,0.24758842443729903,0.2161010925327866,0.8002708608388666
A3,425,0.2255870762366266,0.2803621604745551,0.21592988193348134,0.8153759191362694
A3,426,0.20833540076688611,0.25769596953348145,0.20692206083644024,0.8205563040144179
A3,427,0.21311089041100356,0.2961418143899896,0.19998920309753437,0.8045816453908976
C1,425,0.2120968010460777,0.2930474333983106,0.2012017655185742,0.8023554943760762
C1,426,0.19686731618997966,0.31840110268780153,0.19259482503130082,0.8215057516901888
C1,427,0.2083492952236235,0.28393033190930006,0.18422461489890704,0.8179583534560475
B2,425,0.26524484695909745,0.3203125,0.2664829734181066,0.8660704137805523
B2,426,0.23583487970853817,0.30034342803621605,0.2594707673277322,0.8584410706760041
B2,427,0.247554312647154,0.3075903215114352,0.24517682564939128,0.8518404099482597
A5,425,0.2652309384194406,0.330207908683245,0.3119809581846369,0.8778089188384476
A5,426,0.2931360098012415,0.35677393722685735,0.28274549174757757,0.8781303553507775
A5,427,0.2838543766531619,0.4015957446808511,0.3193964628636571,0.8734362099628191
A4,425,0.2714455799248657,0.3788091889357712,0.2906424956780866,0.8727258607967132
A4,426,0.2831212662720818,0.3301043219076006,0.2852055631147975,0.8741088225330931
A4,427,0.2926764184211619,0.43084577114427863,0.2953821482125415,0.8712486706074408
